tahun,bulan,bulan_num,1. TKB90,2. TWP90,3. ROA,4. ROE,5. BOPO
2024,Januari,1,0.9704787216208748,0.029521278379125215,-0.019286355402577077,-0.037631479234353275,0.9586798608560223
2024,Februari,2,0.9705392918985771,0.029460708101422872,-0.013607414781891626,-0.02634220412541913,0.9294537606982358
2024,Maret,3,0.9705828868797419,0.029417113120258076,-0.0037561508664440504,-0.007196911051070993,0.9173513447467685
2024,April,4,0.972068965535836,0.027931034464164006,0.023734933337751472,0.04489053646988034,0.8773249897564411
2024,Mei,5,0.9708627415511686,0.029137258448831416,0.03784829564570315,0.07022348557042228,0.8575206391485278
2024,Juni,6,0.9721368302282456,0.027863169771754404,0.04498008900435438,0.08470376596003773,0.8649674212689351
2024,Juli,7,0.9746941264065344,0.025305873593465575,0.04987357474826944,0.09435517917114843,0.9061940843174923
2024,Agustus,8,0.9762435578163895,0.02375644218361054,0.08110035172461666,0.14565166391724846,0.8898452714975158
2024,September,9,0.9762489061127071,0.023751093887292896,0.09912301062229328,0.17907210346383737,0.8882526416868904
2024,Oktober,10,0.976331566402645,0.02366843359735509,0.13622521876366658,0.23622283023931834,0.8770417955235812
2024,November,11,0.9748294263691014,0.025170573630898595,0.15108488675823897,0.2651464392357604,0.8740431710156704
2024,Desember,12,0.9739589176495065,0.02604108235049351,0.1911512685303004,0.32552946931655236,0.862990020914861
2025,Januari,1,0.9747931284188391,0.025206871581160827,0.016622283499473825,0.029320766454938686,0.8577374525724718
2025,Februari,2,0.9722202819643284,0.02777971803567158,0.2180078196068988,0.2676980644552771,0.8867389893445735
2025,Maret,3,0.9722716354089231,0.02772836459107682,0.4827115381748924,0.6648464807580076,0.7788413020595926
2025,April,4,0.9707034326701321,0.029296567329867896,0.2468027444914783,0.3162575495394356,0.8736283683185863
2025,Mei,5,0.968098468740067,0.0319015312599333,0.266007794954662,0.348153717413418,0.868071756103552
2025,Juni,6,0.9715253891772158,0.028474610822784293,0.2842559082078061,0.37851275045192906,0.8569585663191805
2025,Juli,7,0.9728590910965589,0.027140908903441154,0.30338585749561375,0.409518454536958,0.8536830983216003
2025,Agustus,8,0.9742764338418828,0.025723566158117255,0.31537968540663297,0.427623550046329,0.848904747426208
2025,September,9,0.9718297013887812,0.028170298611218753,0.3214718850694279,0.4416855953671249,0.8469905376597938
2025,Oktober,10,0.9724095928085615,0.027590407191438494,0.31299562757869154,0.4250702214140572,0.8508452571335235
2025,November,11,0.9567393716883973,0.04326062831160275,0.31427905308751825,0.4270800621572746,0.8511850386328628
2025,Desember,12,0.9567981515546249,0.043201848445375134,0.2843016432327836,0.37286639559229895,0.8672732240335526
